Num,Cardno,Pentad,QDGC,NoSurveys,Start_Date,End_Date,ObserverNo,Total_Spp,Intensive_hours,Total_hours,Spp_On_Card,centre_longitude,centre_latitude,GDD0,GDD5,MTCO,MTWA,AET_div_PET,Wet_Intensity,Dry_Intensity,SV,G,AZ,NK,LWP_HA,VegTypePC,QDS_PC,log.intensive,year,year.F,log.total.hours,day.std
15,2730_2315_011010_20090815,2730_2315,2723CB,17,2009/08/15,2009/08/15,11010,37,3,3,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,1.098612289,2009,1,1.098612289,0.333660013
16,2730_2315_011010_20100814,2730_2315,2723CB,17,2010/08/14,2010/08/15,11010,48,3,3,1,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,1.098612289,2010,2,1.098612289,0.324349983
17,2730_2315_011010_20120512,2730_2315,2723CB,17,2012/05/12,2012/05/12,11010,29,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2012,4,0.693147181,-0.532172719
18,2730_2315_011010_20140427,2730_2315,2723CB,17,2014/04/27,2014/04/27,11010,32,3,3,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,1.098612289,2014,6,1.098612289,-0.671823159
19,2730_2315_011254_20110826,2730_2315,2723CB,17,2011/08/26,2011/08/27,11254,28,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2011,3,0.693147181,0.436070336
20,2730_2315_012084_20140528,2730_2315,2723CB,17,2014/05/28,2014/05/29,12084,42,6,6,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,1.791759469,2014,6,1.791759469,-0.383212249
21,2735_2315_011783_20130922,2735_2315,2723CB,1,2013/09/22,2013/09/22,11783,23,3,3,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,1.098612289,2013,5,1.098612289,0.6781311
22,2740_2315_011783_20130922,2740_2315,2723CB,1,2013/09/22,2013/09/22,11783,38,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2013,5,0.693147181,0.6781311
23,2725_2320_000614_20140427,2725_2320,2723AD,3,2014/04/27,2014/04/27,614,49,2,2,1,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,0.693147181,2014,6,0.693147181,-0.671823159
24,2725_2320_010718_20120107,2725_2320,2723AD,3,2012/01/07,2012/01/07,10718,23,2,2,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,0.693147181,2012,4,0.693147181,-1.695926391
25,2725_2320_011963_20110929,2725_2320,2723AD,3,2011/09/29,2011/09/29,11963,40,4,12,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,1.386294361,2011,3,2.48490665,0.743301305
26,2730_2320_011783_20130922,2730_2320,2723CB,1,2013/09/22,2013/09/22,11783,20,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2013,5,0.693147181,0.6781311
27,2740_2320_011783_20130922,2740_2320,2723CB,1,2013/09/22,2013/09/22,11783,34,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2013,5,0.693147181,0.6781311
28,2745_2320_001555_20100426,2745_2320,2723CD,1,2010/04/26,2010/04/26,1555,28,2,2,0,23.375,-27.875,6294.4,4469.4,9.6,23.8,0.314,3.7,-81.2,1,0,0,0,45050.36,7.77,65.95,0.693147181,2010,2,0.693147181,-0.681133189
29,2750_2320_001555_20100426,2750_2320,2723CD,1,2010/04/26,2010/04/26,1555,36,2,2,0,23.375,-27.875,6294.4,4469.4,9.6,23.8,0.314,3.7,-81.2,1,0,0,0,45050.36,7.77,65.95,0.693147181,2010,2,0.693147181,-0.681133189
30,2755_2320_001555_20100426,2755_2320,2723CD,1,2010/04/26,2010/04/26,1555,21,2,2,0,23.375,-27.875,6294.4,4469.4,9.6,23.8,0.314,3.7,-81.2,1,0,0,0,45050.36,7.77,65.95,0.693147181,2010,2,0.693147181,-0.681133189
31,2725_2325_000051_20130924,2725_2325,2723AD,12,2013/09/24,2013/09/24,51,49,2,2,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,0.693147181,2013,5,0.693147181,0.696751158
32,2725_2325_000465_20140624,2725_2325,2723AD,12,2014/06/24,2014/06/24,465,74,3,3,1,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,1.098612289,2014,6,1.098612289,-0.141151485
33,2725_2325_000614_20140426,2725_2325,2723AD,12,2014/04/26,2014/04/26,614,60,3,3,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,1.098612289,2014,6,1.098612289,-0.681133189
34,2725_2325_010532_20130509,2725_2325,2723AD,12,2013/05/09,2013/05/09,10532,25,2,2,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,0.693147181,2013,5,0.693147181,-0.560102807
35,2725_2325_010532_20130520,2725_2325,2723AD,12,2013/05/20,2013/05/20,10532,21,2,2,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,0.693147181,2013,5,0.693147181,-0.457692484
38,2725_2325_010706_20110219,2725_2325,2723AD,12,2011/02/19,2011/02/19,10706,24,2,2,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,0.693147181,2011,3,0.693147181,-1.304905157
39,2725_2325_010857_20100423,2725_2325,2723AD,12,2010/04/23,2010/04/23,10857,31,6,6,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,1.791759469,2010,2,1.791759469,-0.709063277
40,2725_2325_011863_20131112,2725_2325,2723AD,12,2013/11/12,2013/11/12,11863,33,2,2,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,0.693147181,2013,5,0.693147181,1.143632568
41,2725_2325_011963_20110929,2725_2325,2723AD,12,2011/09/29,2011/10/01,11963,64,6,12,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,1.791759469,2011,3,2.48490665,0.743301305
42,2725_2325_011963_20111211,2725_2325,2723AD,12,2011/12/11,2011/12/11,11963,60,4,12,0,23.375,-27.375,6437.9,4612.9,9.8,24.4,0.328,7.1,-79.5,1,0,0,0,8.83,0,0.01,1.386294361,2011,3,2.48490665,1.41362342
43,2730_2325_010611_20110429,2730_2325,2723CB,1,2011/04/29,2011/04/29,10611,32,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2011,3,0.693147181,-0.653203101
44,2735_2325_010318_20120803,2735_2325,2723CB,2,2012/08/03,2012/08/03,10318,34,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2012,4,0.693147181,0.22193966
45,2735_2325_010318_20121005,2735_2325,2723CB,2,2012/10/05,2012/10/05,10318,33,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2012,4,0.693147181,0.799161481
46,2740_2325_010318_20121005,2740_2325,2723CB,1,2012/10/05,2012/10/05,10318,30,2,2,0,23.375,-27.625,6198.9,4373.9,9.2,23.7,0.339,8.4,-77.2,1,0,0,0,21385.2,3.69,31.23,0.693147181,2012,4,0.693147181,0.799161481
47,2750_2325_001555_20100426,2750_2325,2723CD,2,2010/04/26,2010/04/26,1555,35,3,3,0,23.375,-27.875,6294.4,4469.4,9.6,23.8,0.314,3.7,-81.2,1,0,0,0,45050.36,7.77,65.95,1.098612289,2010,2,1.098612289,-0.681133189
48,2750_2325_010318_20120217,2750_2325,2723CD,2,2012/02/17,2012/02/19,10318,49,6,6,0,23.375,-27.875,6294.4,4469.4,9.6,23.8,0.314,3.7,-81.2,1,0,0,0,45050.36,7.77,65.95,1.791759469,2012,4,1.791759469,-1.323525216
49,2755_2325_010318_20120311,2755_2325,2723CD,1,2012/03/11,2012/03/11,10318,35,2,2,0,23.375,-27.875,6294.4,4469.4,9.6,23.8,0.314,3.7,-81.2,1,0,0,0,45050.36,7.77,65.95,0.693147181,2012,4,0.693147181,-1.100084511
50,2725_2330_011783_20130920,2725_2330,2723BC,1,2013/09/20,2013/09/20,11783,27,2,2,0,23.625,-27.375,6310.7,4485.7,9.4,24,0.343,8.8,-76.3,1,0,0,0,554.6,0.1,0.81,0.693147181,2013,5,0.693147181,0.659511041
51,2730_2330_011963_20110930,2730_2330,2723DA,1,2011/09/30,2011/09/30,11963,32,3,12,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,1.098612289,2011,3,2.48490665,0.752611335
52,2735_2330_010672_20130921,2735_2330,2723DA,1,2013/09/21,2013/09/23,10672,22,2,2,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,0.693147181,2013,5,0.693147181,0.66882107
53,2740_2330_010857_20100424,2740_2330,2723DA,1,2010/04/24,2010/04/24,10857,33,3,3,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,1.098612289,2010,2,1.098612289,-0.699753248
54,2745_2330_010857_20100424,2745_2330,2723DC,1,2010/04/24,2010/04/24,10857,20,3,3,0,23.625,-27.875,5877,4052,8.4,22.7,0.358,10.5,-73.5,1,0,0,0,35290.5,8.09,51.66,1.098612289,2010,2,1.098612289,-0.699753248
55,2750_2330_010318_20110318,2750_2330,2723DC,1,2011/03/18,2011/03/18,10318,45,2,2,0,23.625,-27.875,5877,4052,8.4,22.7,0.358,10.5,-73.5,1,0,0,0,35290.5,8.09,51.66,0.693147181,2011,3,0.693147181,-1.034914305
56,2725_2335_010857_20110427,2725_2335,2723BC,1,2011/04/27,2011/04/27,10857,29,2,2,0,23.625,-27.375,6310.7,4485.7,9.4,24,0.343,8.8,-76.3,1,0,0,0,554.6,0.1,0.81,0.693147181,2011,3,0.693147181,-0.671823159
57,2730_2335_001555_20130922,2730_2335,2723DA,1,2013/09/22,2013/09/22,1555,33,2,2,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,0.693147181,2013,5,0.693147181,0.6781311
58,2735_2335_010857_20100424,2735_2335,2723DA,2,2010/04/24,2010/04/24,10857,23,2,2,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,0.693147181,2010,2,0.693147181,-0.699753248
59,2735_2335_011963_20110930,2735_2335,2723DA,2,2011/09/30,2011/09/30,11963,35,3,12,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,1.098612289,2011,3,2.48490665,0.752611335
60,2740_2335_010672_20130921,2740_2335,2723DA,1,2013/09/21,2013/09/23,10672,44,2,2,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,0.693147181,2013,5,0.693147181,0.66882107
61,2750_2335_010857_20100424,2750_2335,2723DC,1,2010/04/24,2010/04/24,10857,23,3,3,0,23.625,-27.875,5877,4052,8.4,22.7,0.358,10.5,-73.5,1,0,0,0,35290.5,8.09,51.66,1.098612289,2010,2,1.098612289,-0.699753248
62,2755_2335_002315_20100524,2755_2335,2723DC,4,2010/05/24,2010/05/27,2315,47,2,2,0,23.625,-27.875,5877,4052,8.4,22.7,0.358,10.5,-73.5,1,0,0,0,35290.5,8.09,51.66,0.693147181,2010,2,0.693147181,-0.420452366
64,2755_2335_002315_20120219,2755_2335,2723DC,4,2012/02/19,2012/02/19,2315,50,4,4,0,23.625,-27.875,5877,4052,8.4,22.7,0.358,10.5,-73.5,1,0,0,0,35290.5,8.09,51.66,1.386294361,2012,4,1.386294361,-1.304905157
66,2725_2340_011079_20130922,2725_2340,2723BC,1,2013/09/22,2013/09/22,11079,36,2,2,0,23.625,-27.375,6310.7,4485.7,9.4,24,0.343,8.8,-76.3,1,0,0,0,554.6,0.1,0.81,0.693147181,2013,5,0.693147181,0.6781311
67,2730_2340_001555_20130922,2730_2340,2723DA,1,2013/09/22,2013/09/22,1555,34,2,2,0,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,0.693147181,2013,5,0.693147181,0.6781311
68,2735_2340_010672_20130921,2735_2340,2723DA,1,2013/09/21,2013/09/21,10672,32,2,2,1,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,0.693147181,2013,5,0.693147181,0.66882107
69,2740_2340_010672_20130921,2740_2340,2723DA,1,2013/09/21,2013/09/21,10672,29,2,2,1,23.625,-27.625,6056.4,4231.4,8.9,23.2,0.359,11,-73.6,1,0,0,0,1059.44,0.18,1.55,0.693147181,2013,5,0.693147181,0.66882107
71,2755_2340_010318_20111204,2755_2340,2723DC,1,2011/12/04,2011/12/04,10318,33,2,2,0,23.625,-27.875,5877,4052,8.4,22.7,0.358,10.5,-73.5,1,0,0,0,35290.5,8.09,51.66,0.693147181,2011,3,0.693147181,1.348453214
72,2730_2345_011079_20130922,2730_2345,2723DB,1,2013/09/22,2013/09/22,11079,32,2,2,0,23.875,-27.625,5999.1,4174.1,8.7,23.1,0.367,11.4,-71.9,1,0,0,0,60427.79,15.37,88.26,0.693147181,2013,5,0.693147181,0.6781311
73,2735_2345_011079_20100425,2735_2345,2723DB,1,2010/04/25,2010/04/25,11079,16,2,2,0,23.875,-27.625,5999.1,4174.1,8.7,23.1,0.367,11.4,-71.9,1,0,0,0,60427.79,15.37,88.26,0.693147181,2010,2,0.693147181,-0.690443218
74,2745_2345_010857_20100425,2745_2345,2723DD,1,2010/04/25,2010/04/25,10857,22,2,2,0,23.875,-27.875,5989.3,4164.3,8.7,23.1,0.354,9.5,-74.3,1,0,0,0,6846.6,1.74,10.02,0.693147181,2010,2,0.693147181,-0.690443218
75,2755_2345_010672_20130923,2755_2345,2723DD,1,2013/09/23,2013/09/23,10672,23,2,2,0,23.875,-27.875,5989.3,4164.3,8.7,23.1,0.354,9.5,-74.3,1,0,0,0,6846.6,1.74,10.02,0.693147181,2013,5,0.693147181,0.687441129
76,2735_2350_010857_20100425,2735_2350,2723DB,2,2010/04/25,2010/04/25,10857,33,3,3,0,23.875,-27.625,5999.1,4174.1,8.7,23.1,0.367,11.4,-71.9,1,0,0,0,60427.79,15.37,88.26,1.098612289,2010,2,1.098612289,-0.690443218
77,2735_2350_011963_20111001,2735_2350,2723DB,2,2011/10/01,2011/10/01,11963,32,3,12,0,23.875,-27.625,5999.1,4174.1,8.7,23.1,0.367,11.4,-71.9,1,0,0,0,60427.79,15.37,88.26,1.098612289,2011,3,2.48490665,0.761921364
78,2745_2350_011079_20100425,2745_2350,2723DD,1,2010/04/25,2010/04/25,11079,23,2,2,0,23.875,-27.875,5989.3,4164.3,8.7,23.1,0.354,9.5,-74.3,1,0,0,0,6846.6,1.74,10.02,0.693147181,2010,2,0.693147181,-0.690443218
79,2750_2350_010672_20130923,2750_2350,2723DD,1,2013/09/23,2013/09/23,10672,18,2,2,0,23.875,-27.875,5989.3,4164.3,8.7,23.1,0.354,9.5,-74.3,1,0,0,0,6846.6,1.74,10.02,0.693147181,2013,5,0.693147181,0.687441129
80,2725_2355_011989_20130920,2725_2355,2723BD,1,2013/09/20,2013/09/20,11989,36,2,2,0,23.875,-27.375,6150.7,4325.6,9.1,23.5,0.358,10.2,-74,1,0,0,0,2299.84,0.4,3.35,0.693147181,2013,5,0.693147181,0.659511041
81,2735_2355_011963_20111001,2735_2355,2723DB,1,2011/10/01,2011/10/01,11963,33,3,12,0,23.875,-27.625,5999.1,4174.1,8.7,23.1,0.367,11.4,-71.9,1,0,0,0,60427.79,15.37,88.26,1.098612289,2011,3,2.48490665,0.761921364
84,2810_2310_010318_20111119,2810_2310,2823AA,1,2011/11/19,2011/11/19,10318,46,3,3,0,23.125,-28.125,6482.9,4657.9,10.2,24.2,0.269,0,-92,1,0,0,0,982.73,0.12,1.44,1.098612289,2011,3,1.098612289,1.208802774
85,2815_2310_010051_20120109,2815_2310,2823AC,1,2012/01/09,2012/01/10,10051,36,2,2,0,23.125,-28.375,6563.8,4738.8,10.5,24.4,0.251,0,-97.7,1,0,0,0,11078.86,1.91,16.29,0.693147181,2012,4,0.693147181,-1.677306332
86,2820_2310_010611_20101106,2820_2310,2823AC,1,2010/11/06,2010/11/06,10611,26,2,2,0,23.125,-28.375,6563.8,4738.8,10.5,24.4,0.251,0,-97.7,1,0,0,0,11078.86,1.91,16.29,0.693147181,2010,2,0.693147181,1.087772392
87,2835_2310_002194_20101207,2835_2310,2823CA,1,2010/12/07,2010/12/07,2194,63,2,2,0,23.125,-28.625,6178.7,4353.7,9.2,23.6,0.246,0,-98.8,1,0,0,0,336.47,0.36,0.5,0.693147181,2010,2,0.693147181,1.376383303
88,2840_2310_002194_20101207,2840_2310,2823CA,1,2010/12/07,2010/12/07,2194,62,2,2,0,23.125,-28.625,6178.7,4353.7,9.2,23.6,0.246,0,-98.8,1,0,0,0,336.47,0.36,0.5,0.693147181,2010,2,0.693147181,1.376383303
89,2845_2310_002194_20101207,2845_2310,2823CC,1,2010/12/07,2010/12/07,2194,52,2,2,1,23.125,-28.875,6122.6,4297.6,8.8,23.8,0.23,0,-103.5,1,0,0,0,38780.56,4.56,57.31,0.693147181,2010,2,0.693147181,1.376383303
90,2850_2310_010075_20091226,2850_2310,2823CC,1,2009/12/26,2009/12/26,10075,75,3,3,1,23.125,-28.875,6122.6,4297.6,8.8,23.8,0.23,0,-103.5,1,0,0,0,38780.56,4.56,57.31,1.098612289,2009,1,1.098612289,1.553273861
91,2810_2315_010318_20111022,2810_2315,2823AB,2,2011/10/22,2011/10/22,10318,44,3,3,0,23.375,-28.125,6048.4,4223.4,9,23.1,0.317,4.3,-80.6,1,0,0,0,12754.54,2.2,18.71,1.098612289,2011,3,1.098612289,0.957431981
92,2810_2315_010318_20140523,2810_2315,2823AB,2,2014/05/23,2014/05/23,10318,43,2,2,0,23.375,-28.125,6048.4,4223.4,9,23.1,0.317,4.3,-80.6,1,0,0,0,12754.54,2.2,18.71,0.693147181,2014,6,0.693147181,-0.429762396
93,2815_2315_010356_20101105,2815_2315,2823AD,1,2010/11/05,2010/11/05,10356,52,2,2,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,0.693147181,2010,2,0.693147181,1.078462363
94,2820_2315_010318_20140531,2820_2315,2823AD,2,2014/05/31,2014/05/31,10318,37,2,2,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,0.693147181,2014,6,0.693147181,-0.36459219
95,2820_2315_010611_20101106,2820_2315,2823AD,2,2010/11/06,2010/11/06,10611,32,2,2,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,0.693147181,2010,2,0.693147181,1.087772392
96,2825_2315_002194_20101106,2825_2315,2823AD,1,2010/11/06,2010/11/06,2194,33,2,2,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,0.693147181,2010,2,0.693147181,1.087772392
97,2830_2315_010318_20111203,2830_2315,2823CB,1,2011/12/03,2011/12/03,10318,39,2,2,0,23.375,-28.625,5970.6,4145.6,8.6,23.1,0.277,0,-88.9,1,0,0,0,48.72,0.01,0.07,0.693147181,2011,3,0.693147181,1.339143185
98,2835_2315_002194_20081210,2835_2315,2823CB,1,2008/12/10,2008/12/10,2194,54,3,3,1,23.375,-28.625,5970.6,4145.6,8.6,23.1,0.277,0,-88.9,1,0,0,0,48.72,0.01,0.07,1.098612289,2008,0,1.098612289,1.404313391
99,2840_2315_002194_20101208,2840_2315,2823CB,1,2010/12/08,2010/12/08,2194,56,2,2,1,23.375,-28.625,5970.6,4145.6,8.6,23.1,0.277,0,-88.9,1,0,0,0,48.72,0.01,0.07,0.693147181,2010,2,0.693147181,1.385693332
100,2845_2315_002194_20101208,2845_2315,2823CD,1,2010/12/08,2010/12/08,2194,62,2,2,0,23.375,-28.875,5971.7,4146.7,8.5,23.4,0.25,0,-97.4,1,0,0,0,4820.22,0.57,7.12,0.693147181,2010,2,0.693147181,1.385693332
101,2810_2320_010318_20101219,2810_2320,2823AB,4,2010/12/19,2010/12/19,10318,34,2,2,0,23.375,-28.125,6048.4,4223.4,9,23.1,0.317,4.3,-80.6,1,0,0,0,12754.54,2.2,18.71,0.693147181,2010,2,0.693147181,1.488103655
102,2810_2320_010318_20120122,2810_2320,2823AB,4,2012/01/22,2012/01/22,10318,41,3,3,0,23.375,-28.125,6048.4,4223.4,9,23.1,0.317,4.3,-80.6,1,0,0,0,12754.54,2.2,18.71,1.098612289,2012,4,1.098612289,-1.55627595
103,2810_2320_010318_20130210,2810_2320,2823AB,4,2013/02/10,2013/02/10,10318,40,2,2,0,23.375,-28.125,6048.4,4223.4,9,23.1,0.317,4.3,-80.6,1,0,0,0,12754.54,2.2,18.71,0.693147181,2013,5,0.693147181,-1.388695421
104,2810_2320_010318_20140301,2810_2320,2823AB,4,2014/03/01,2014/03/01,10318,36,2,2,0,23.375,-28.125,6048.4,4223.4,9,23.1,0.317,4.3,-80.6,1,0,0,0,12754.54,2.2,18.71,0.693147181,2014,6,0.693147181,-1.193184804
105,2815_2320_010051_20120109,2815_2320,2823AD,3,2012/01/09,2012/01/10,10051,52,3,3,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,1.098612289,2012,4,1.098612289,-1.677306332
106,2815_2320_010318_20120212,2815_2320,2823AD,3,2012/02/12,2012/02/12,10318,46,2,2,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,0.693147181,2012,4,0.693147181,-1.370075362
107,2815_2320_010318_20121027,2815_2320,2823AD,3,2012/10/27,2012/10/27,10318,38,2,2,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,0.693147181,2012,4,0.693147181,1.003982128
108,2820_2320_010138_20140329,2820_2320,2823AD,23,2014/03/29,2014/03/30,10318,63,4,4,0,23.375,-28.375,6018.1,4193.1,8.9,23,0.295,0.2,-83.4,1,0,0,0,54.08,0.06,0.08,1.386294361,2014,6,1.386294361,-0.932503982
